company_name,uri,salary,site,year,edu,job_name,city,pos_count
Company 00001,https://www.zhipin.com/job_detail/7ece55fbcbf7a6031HRy0ti-FlY~.html,10-15K,Chengdu Site 00001,1-3 years,Bachelor degree,pythonDeveloper,chengdu,2
Company 00002,https://www.zhipin.com/job_detail/760b2b05535c8a4d1n1629W9GFQ~.html,20-40K,Chengdu Site 00002,3-5 years,Bachelor degree,Python,chengdu,5
Company 00003,https://www.zhipin.com/job_detail/9575f02d9a9ff2c01HV83d-0F1Y~.html,15-20K,Chengdu Site 00003,3-5 years,Associate degree,python Instructor,chengdu,3
Company 00004,https://www.zhipin.com/job_detail/912b6da8b12fb1861nJ_3NS8FFs~.html,6-10K,Chengdu Site 00004,Less than 1 year,Bachelor degree,Python,chengdu,1
Company 00005,https://www.zhipin.com/job_detail/c61ef9b261da28081HRy0tq-FlQ~.html,8-13K,Chengdu Site 00005,1-3 years,Bachelor degree,pythonDeveloper,chengdu,3
Company 00006,https://www.zhipin.com/job_detail/4fbb387a96ff7f730nR_2t20FFc~.html,7-8K x 13 salaries,Chengdu Site 00006,3-5 years,Associate degree,C++/Python,chengdu,4
Company 00007,https://www.zhipin.com/job_detail/17fe77fdd3b119831Hd709--E1A~.html,7-12K,Chengdu Site 00007,Less than 1 year,Associate degree,PythonInstructor,chengdu,1
Company 00008,https://www.zhipin.com/job_detail/77186b69e91538e103J40tu6GVU~.html,8-13K,Chengdu Site 00008,3-5 years,Bachelor degree,Python,chengdu,1
Company 00009,https://www.zhipin.com/job_detail/586d4207f3d7cbde0nV50tq5Elc~.html,7-12K,Chengdu Site 00009,3-5 years,Bachelor degree,pythonBackend Developer,chengdu,6
Company 00010,https://www.zhipin.com/job_detail/dafa272932d0b0570nR63Ny4ElU~.html,3-8K,Chengdu Site 00010,Experience not required,Bachelor degree,Python Developer,chengdu,6
Company 00011,https://www.zhipin.com/job_detail/8fbdebb729c0f4bf1XN-29q6EVU~.html,18-22K,Chengdu Site 00004,1-3 years,Bachelor degree,pythonDeveloper,chengdu,3
Company 00012,https://www.zhipin.com/job_detail/7056c5efbd8ff2571Hd7292-Els~.html,8-11K,Chengdu Site 00002,1-3 years,Bachelor degree,PythonDeveloper Engineer,chengdu,3
Company 00013,https://www.zhipin.com/job_detail/fcfd27b25655f96b03Rz3dS-FFM~.html,22-30K,Chengdu Site 00011,3-5 years,Bachelor degree,Python Developer,chengdu,6
Company 00010,https://www.zhipin.com/job_detail/03ebb9949afeea4a03B429S7Elc~.html,5-10K,Chengdu Site 00010,Experience not required,Bachelor degree,Python Developer,chengdu,3
Company 00014,https://www.zhipin.com/job_detail/b666297a3d8d610f03J-3dW4FVs~.html,15-30K x 13 salaries,Chengdu Site 00004,3-5 years,Associate degree,pythonDeveloper Engineer,chengdu,2
Company 00003,https://www.zhipin.com/job_detail/feedd8a2339db8171HR52d-_E1Q~.html,12-18K,Chengdu Site 00003,3-5 years,Associate degree,pythonAutomation Test Instructor,chengdu,3
Company 00015,https://www.zhipin.com/job_detail/9b73b94ed4111bd203N-0tW8GVM~.html,10-15K,Chengdu Site 00003,3-5 years,Bachelor degree,PythonEngineer,chengdu,1
Company 00016,https://www.zhipin.com/job_detail/b02678d008956a780nd62d21Elo~.html,10-15K,Chengdu Site 00012,3-5 years,Bachelor degree,PythonDeveloper Engineer,chengdu,4
Company 00017,https://www.zhipin.com/job_detail/9c77bbf5f391fed20nV629u0GVI~.html,10-15K,Chengdu Site 00013,1-3 years,Associate degree,PythonDeveloper Engineer,chengdu,1
Company 00018,https://www.zhipin.com/job_detail/97e0536d8a46739c03Z73tq1E1c~.html,11-20K,Chengdu Site 00014,3-5 years,Bachelor degree,pythonCrawler Engineer,chengdu,3
Company 00019,https://www.zhipin.com/job_detail/a6ea9ab9679194d61XR_29y9GVU~.html,10-15K,Chengdu Site 00015,1-3 years,Bachelor degree,Python Developer,chengdu,5
Company 00020,https://www.zhipin.com/job_detail/72b3a025a3a64c461Hx92Nu4GFs~.html,6-10K,Chengdu Site 00016,Experience not required,Bachelor degree,Python Developer,chengdu,3
ThoughtWorks,https://www.zhipin.com/job_detail/c6c60505a8e17e3c1XR42d64GVA~.html,10-20K,Chengdu Site 00010,Experience not required,Education not specified,Backend Developer (java C# Python ruby),chengdu,6
Company 00013,https://www.zhipin.com/job_detail/e3dcaa1448c6ae2c03Rz3dS9E1A~.html,22-30K,Chengdu Site 00011,3-5 years,Bachelor degree,Python Developer,chengdu,2
Company 00021,https://www.zhipin.com/job_detail/300bb6271bbca15303Fy2Ni0FlU~.html,18-35K,Chengdu Site 00004,Experience not required,Bachelor degree,PythonDeveloper Engineer,chengdu,4
Company 00022,https://www.zhipin.com/job_detail/2bed8bec382830971HB429q7Flc~.html,15-20K,Chengdu Site 00004,5-10 years,Bachelor degree,Operations Developer Engineer (Senior pythonEngineer),chengdu,5
Company 00023,https://www.zhipin.com/job_detail/5b5c395e0d1f91d11HZ93NW9E1s~.html,5-6K,Chengdu Site 00004,3-5 years,Associate degree,Python Developer,chengdu,6
Company 00013,https://www.zhipin.com/job_detail/54b4cd7eb711da7803Ry2N-9F1s~.html,22-30K,Chengdu Site 00011,3-5 years,Bachelor degree,Python Developer,chengdu,2
Company 00018,https://www.zhipin.com/job_detail/cddd78d34eebba3903Z73tW_GFI~.html,15-25K,Chengdu Site 00014,3-5 years,Bachelor degree,Senior pythonCrawler Engineer,chengdu,1
Company 00024,https://www.zhipin.com/job_detail/c71d6bbe6253fce90nZ92969FVo~.html,9-14K,Chengdu Site 00004,3-5 years,Associate degree,Senior pythonDeveloper Engineer,chengdu,2
Company 00013,https://www.zhipin.com/job_detail/dd4343fb865b933203Rz3dS8Fls~.html,20-30K,Chengdu Site 00011,3-5 years,Bachelor degree,Python Developer,chengdu,6
Company 00011,https://www.zhipin.com/job_detail/c78bd25b2cd2105503B53ty7GFY~.html,10-15K,Chengdu Site 00017,3-5 years,Bachelor degree,PythonDeveloper Engineer,chengdu,5
Company 00025,https://www.zhipin.com/job_detail/03c5d6d53bdb944103d629-0E1c~.html,8-10K x 15 salaries,Chengdu Site 00018,5-10 years,Bachelor degree,Senior PythonAutomation Developer Engineer,chengdu,1
Company 00026,https://www.zhipin.com/job_detail/94c6336e2f1cadb003d_3Ny9F1I~.html,15-30K x 15 salaries,Chengdu Site 00016,Fresh graduate,Bachelor degree,Python Developer,chengdu,6
Company 00027,https://www.zhipin.com/job_detail/553171d3b8ad9df61H1-2tq5EVY~.html,11-20K x 14 salaries,Chengdu Site 00019,1-3 years,Bachelor degree,pythonDeveloper Engineer,chengdu,6
Company 00028,https://www.zhipin.com/job_detail/95d8e5941462ae751Xx52964GFE~.html,8-13K,Chengdu Site 00009,1-3 years,Bachelor degree,PythonDeveloper Senior Engineer,chengdu,3
Company 00029,https://www.zhipin.com/job_detail/16e85822313478901XZ62du0F1M~.html,4-7K,Chengdu Site 00020,1-3 years,Associate degree,Python Developer,chengdu,5
Company 00030,https://www.zhipin.com/job_detail/893bf4b3f39955a80nZ73tq6FVI~.html,7-10K,Chengdu Site 00017,1-3 years,Associate degree,Python Developer,chengdu,5
Company 00031,https://www.zhipin.com/job_detail/1934784348bd82941nN429q-GFc~.html,8-12K,Chengdu Site 00021,1-3 years,Bachelor degree,Python Developer,chengdu,2
Dell,https://www.zhipin.com/job_detail/99a28c57748e16d90nd709i-E1Q~.html,15-20K,Chengdu Site 00004,5-10 years,Master degree,Python Developer,chengdu,6
Company 00032,https://www.zhipin.com/job_detail/69c54dc7ffbbeb301HV52tW-GFI~.html,10-15K,Chengdu Site 00022,3-5 years,Bachelor degree,pythonDeveloper Engineer,chengdu,5
Company 00033,https://www.zhipin.com/job_detail/22bab2d2946c43b41XB_0925ElU~.html,12-24K,Chengdu Site 00002,Experience not required,Master degree,Python,chengdu,5
Company 00033,https://www.zhipin.com/job_detail/e277de06d8e05a591XJ40tS0GVE~.html,15-30K,Chengdu Site 00002,3-5 years,Master degree,Python,chengdu,3
Company 00033,https://www.zhipin.com/job_detail/cd7cad0c977635011HR539W9EVs~.html,10-20K,Chengdu Site 00002,1-3 years,Master degree,PythonFull-stack Engineer,chengdu,4
Company 00016,https://www.zhipin.com/job_detail/f934c1d790ede88703N63tu7FFo~.html,10-15K,Chengdu Site 00021,3-5 years,Bachelor degree,PythonEngineer,chengdu,1
Company 00034,https://www.zhipin.com/job_detail/6b5cfc288978a2a31nFz3t--Flc~.html,2-4K,Chengdu Site 00023,Experience not required,Associate degree,PythonIntern,chengdu,1
Company 00035,https://www.zhipin.com/job_detail/76f7d3a53405865f03J_3tq6EFA~.html,10-15K,Chengdu Site 00021,3-5 years,Bachelor degree,PythonDeveloper Engineer,chengdu,2
Company 00036,https://www.zhipin.com/job_detail/99f78d6aa03c5fee1Hd83dW1EVc~.html,12-20K,Chengdu Site 00024,1-3 years,Bachelor degree,PythonSenior Developer Engineer,chengdu,5
Company 00037,https://www.zhipin.com/job_detail/3a7174910e22560b03B40920FVY~.html,10-15K x 13 salaries,Chengdu Site 00016,3-5 years,Bachelor degree,pythonBackend Developer Engineer,chengdu,5
Company 00038,https://www.zhipin.com/job_detail/11cbc817f5d13aa50nx72dg~.html,6-9K,Chengdu Site 00025,Experience not required,Education not specified,pythonSenior Developer Engineer,chengdu,1
Company 00039,https://www.zhipin.com/job_detail/dafabac56523e75403Z92tq1GFo~.html,4-9K,Chengdu Site 00011,Less than 1 year,Bachelor degree,PythonTeacher,chengdu,5
Company 00040,https://www.zhipin.com/job_detail/745730013b406d391X1_3964GFo~.html,7-14K,Chengdu Site 00026,3-5 years,Associate degree,PythonSenior Engineer,chengdu,2
Company 00041,https://www.zhipin.com/job_detail/7406939d1d8005921nJ_09u0EFE~.html,5-8K,Chengdu Site 00027,1-3 years,Bachelor degree,Python,chengdu,1
Company 00042,https://www.zhipin.com/job_detail/7ec48d8aced4096b03Z-3dS7GFI~.html,7-12K,Chengdu Site 00004,Experience not required,Bachelor degree,PythonBackend Developer,chengdu,2
Company 00043,https://www.zhipin.com/job_detail/b0aa00222e97e8f11nJ93dm-EVQ~.html,6-9K,Chengdu Site 00016,1-3 years,Bachelor degree,Python,chengdu,6
Company 00044,https://www.zhipin.com/job_detail/758951a18155ce391XZ82tu6F1Y~.html,8-12K,Chengdu Site 00027,3-5 years,Bachelor degree,Python,chengdu,5
Company 00043,https://www.zhipin.com/job_detail/f72152ddda873e9f1nN83N-0Elc~.html,6-11K,Chengdu Site 00016,3-5 years,Associate degree,pythonEngineer,chengdu,5
Company 00045,https://www.zhipin.com/job_detail/314d6a55211a01e31XN739i7EFc~.html,10-20K,Chengdu Site 00020,3-5 years,Bachelor degree,PythonInstructor,chengdu,6
Company 00011,https://www.zhipin.com/job_detail/2ac3169e0443d95003Z-2tS7FVM~.html,8-11K,Chengdu Site 00017,1-3 years,Bachelor degree,PythonDeveloper Engineer,chengdu,2
Company 00046,https://www.zhipin.com/job_detail/40b7cf841c7031101H1709u7EFY~.html,8-13K,Chengdu Site 00028,1-3 years,Bachelor degree,PythonEngineer,chengdu,4
Company 00047,https://www.zhipin.com/job_detail/33cbc3cbac346d9803x_39S9GFs~.html,20-30K,Chengdu Site 00004,3-5 years,Bachelor degree,Python,chengdu,5
