company_name,salary,year,edu,job_name,pos_count,salary_lower,salary_upper,city
Company 00001,12.5,1-3 years,Bachelor degree,pythonDeveloper,2,10,15,Chengdu
Company 00002,30.0,3-5 years,Bachelor degree,python,5,20,40,Chengdu
Company 00003,17.5,3-5 years,Associate degree,python Instructor,3,15,20,Chengdu
Company 00004,8.0,Less than 1 year,Bachelor degree,python,1,6,10,Chengdu
Company 00005,10.5,1-3 years,Bachelor degree,pythonDeveloper,3,8,13,Chengdu
Company 00006,7.5,3-5 years,Associate degree,c++/python,4,7,8,Chengdu
Company 00007,9.5,Less than 1 year,Associate degree,pythonInstructor,1,7,12,Chengdu
Company 00008,10.5,3-5 years,Bachelor degree,python,1,8,13,Chengdu
Company 00009,9.5,3-5 years,Bachelor degree,pythonBackend Developer,6,7,12,Chengdu
Company 00010,5.5,Experience not required,Bachelor degree,Python Developer,6,3,8,Chengdu
Company 00011,20.0,1-3 years,Bachelor degree,pythonDeveloper,3,18,22,Chengdu
Company 00012,9.5,1-3 years,Bachelor degree,pythonDeveloper Engineer,3,8,11,Chengdu
Company 00013,26.0,3-5 years,Bachelor degree,Python Developer,6,22,30,Chengdu
Company 00010,7.5,Experience not required,Bachelor degree,Python Developer,3,5,10,Chengdu
Company 00014,22.5,3-5 years,Associate degree,pythonDeveloper Engineer,2,15,30,Chengdu
Company 00003,15.0,3-5 years,Associate degree,pythonAutomation Test Instructor,3,12,18,Chengdu
Company 00015,12.5,3-5 years,Bachelor degree,pythonEngineer,1,10,15,Chengdu
Company 00016,12.5,3-5 years,Bachelor degree,pythonDeveloper Engineer,4,10,15,Chengdu
Company 00017,12.5,1-3 years,Associate degree,pythonDeveloper Engineer,1,10,15,Chengdu
Company 00018,15.5,3-5 years,Bachelor degree,pythonCrawler Engineer,3,11,20,Chengdu
Company 00019,12.5,1-3 years,Bachelor degree,Python Developer,5,10,15,Chengdu
Company 00020,8.0,Experience not required,Bachelor degree,Python Developer,3,6,10,Chengdu
ThoughtWorks,15.0,Experience not required,Education not specified,Backend Developer (java c# python ruby),6,10,20,Chengdu
Company 00013,26.0,3-5 years,Bachelor degree,Python Developer,2,22,30,Chengdu
Company 00021,26.5,Experience not required,Bachelor degree,pythonDeveloper Engineer,4,18,35,Chengdu
Company 00022,17.5,5+ years,Bachelor degree,Operations Developer Engineer (Senior pythonEngineer),5,15,20,Chengdu
Company 00023,5.5,3-5 years,Associate degree,Python Developer,6,5,6,Chengdu
Company 00013,26.0,3-5 years,Bachelor degree,Python Developer,2,22,30,Chengdu
Company 00018,20.0,3-5 years,Bachelor degree,Senior pythonCrawler Engineer,1,15,25,Chengdu
Company 00024,11.5,3-5 years,Associate degree,Senior pythonDeveloper Engineer,2,9,14,Chengdu
Company 00013,25.0,3-5 years,Bachelor degree,Python Developer,6,20,30,Chengdu
Company 00011,12.5,3-5 years,Bachelor degree,pythonDeveloper Engineer,5,10,15,Chengdu
Company 00025,9.0,5+ years,Bachelor degree,Senior pythonAutomation Developer Engineer,1,8,10,Chengdu
Company 00026,22.5,Fresh graduate,Bachelor degree,Python Developer,6,15,30,Chengdu
Company 00027,15.5,1-3 years,Bachelor degree,pythonDeveloper Engineer,6,11,20,Chengdu
Company 00028,10.5,1-3 years,Bachelor degree,pythonDeveloper Senior Engineer,3,8,13,Chengdu
Company 00029,5.5,1-3 years,Associate degree,Python Developer,5,4,7,Chengdu
Company 00030,8.5,1-3 years,Associate degree,Python Developer,5,7,10,Chengdu
Company 00031,10.0,1-3 years,Bachelor degree,Python Developer,2,8,12,Chengdu
Dell,17.5,5+ years,Postgraduate,Python Developer,6,15,20,Chengdu
Company 00032,12.5,3-5 years,Bachelor degree,pythonDeveloper Engineer,5,10,15,Chengdu
Company 00033,18.0,Experience not required,Postgraduate,python,5,12,24,Chengdu
Company 00033,22.5,3-5 years,Postgraduate,python,3,15,30,Chengdu
Company 00033,15.0,1-3 years,Postgraduate,pythonFull-stack Engineer,4,10,20,Chengdu
Company 00016,12.5,3-5 years,Bachelor degree,pythonEngineer,1,10,15,Chengdu
Company 00034,3.0,Experience not required,Associate degree,pythonIntern,1,2,4,Chengdu
Company 00035,12.5,3-5 years,Bachelor degree,pythonDeveloper Engineer,2,10,15,Chengdu
Company 00036,16.0,1-3 years,Bachelor degree,pythonSenior Developer Engineer,5,12,20,Chengdu
Company 00037,12.5,3-5 years,Bachelor degree,pythonBackend Developer Engineer,5,10,15,Chengdu
Company 00038,7.5,Experience not required,Education not specified,pythonSenior Developer Engineer,1,6,9,Chengdu
Company 00039,6.5,Less than 1 year,Bachelor degree,pythonTeacher,5,4,9,Chengdu
Company 00040,10.5,3-5 years,Associate degree,pythonSenior Engineer,2,7,14,Chengdu
Company 00041,6.5,1-3 years,Bachelor degree,python,1,5,8,Chengdu
Company 00042,9.5,Experience not required,Bachelor degree,pythonBackend Developer,2,7,12,Chengdu
Company 00043,7.5,1-3 years,Bachelor degree,python,6,6,9,Chengdu
Company 00044,10.0,3-5 years,Bachelor degree,python,5,8,12,Chengdu
Company 00043,8.5,3-5 years,Associate degree,pythonEngineer,5,6,11,Chengdu
Company 00045,15.0,3-5 years,Bachelor degree,pythonInstructor,6,10,20,Chengdu
Company 00011,9.5,1-3 years,Bachelor degree,pythonDeveloper Engineer,2,8,11,Chengdu
Company 00046,10.5,1-3 years,Bachelor degree,pythonEngineer,4,8,13,Chengdu
Company 00047,25.0,3-5 years,Bachelor degree,python,5,20,30,Chengdu
Company 00048,15.0,3-5 years,Bachelor degree,pythonSenior Engineer,2,10,20,Chengdu
Company 00049,15.0,3-5 years,Associate degree,pythonEngineer,1,10,20,Chengdu
Company 00020,15.5,Experience not required,Education not specified,pythonDeveloper Engineer,6,15,16,Chengdu
Company 00050,12.5,Experience not required,Bachelor degree,c/c++/python Developer,2,10,15,Chengdu
Company 00024,15.5,3-5 years,Bachelor degree,pythonDeveloper Engineer,4,11,20,Chengdu
Company 00051,8.0,1-3 years,Bachelor degree,Python Developer,1,6,10,Chengdu
Company 00052,10.5,1-3 years,Associate degree,python,1,7,14,Chengdu
Company 00053,15.0,3-5 years,Bachelor degree,pythonFull-stack Engineer,4,10,20,Chengdu
Company 00054,10.5,Fresh graduate,Bachelor degree,python,4,10,11,Chengdu
Company 00055,1.5,Less than 1 year,Bachelor degree,Python Developer,6,1,2,Chengdu
Company 00011,20.0,3-5 years,Bachelor degree,pythonDeveloper,1,18,22,Chengdu
Company 00056,8.5,1-3 years,Associate degree,pythonProgrammer,5,6,11,Chengdu
Company 00013,30.0,3-5 years,Bachelor degree,Python Developer,1,20,40,Chengdu
Company 00057,21.5,3-5 years,Bachelor degree,Python Developer,6,16,27,Chengdu
Company 00057,22.0,Experience not required,Bachelor degree,Python Developer,3,16,28,Chengdu
Company 00057,22.0,Experience not required,Bachelor degree,Python Developer,3,16,28,Chengdu
Company 00057,23.5,Experience not required,Bachelor degree,Python Developer,6,21,26,Chengdu
Company 00058,4.5,Experience not required,Bachelor degree,Big Data Engineer (python/c++),3,4,5,Chengdu
Company 00058,10.5,Experience not required,Bachelor degree,Big Data Engineer (python/c++),4,8,13,Chengdu
Company 00013,30.0,3-5 years,Bachelor degree,python,2,20,40,Chengdu
Company 00059,22.5,3-5 years,Bachelor degree,Senior pythonDeveloper Engineer,3,15,30,Chengdu
Company 00057,22.5,3-5 years,Bachelor degree,pythonDeveloper Engineer,2,15,30,Chengdu
Company 00057,19.5,1-3 years,Bachelor degree,python,3,13,26,Chengdu
Company 00060,15.0,3-5 years,Bachelor degree,python,3,10,20,Chengdu
Company 00061,16.0,3-5 years,Bachelor degree,Python Developer,5,12,20,Chengdu
Company 00062,10.5,1-3 years,Bachelor degree,pythonSenior Developer Engineer,1,8,13,Chengdu
Company 00063,12.5,3-5 years,Bachelor degree,pythonDeveloper Engineer,2,10,15,Chengdu
Company 00064,6.0,Experience not required,Education not specified,Python Developer,1,4,8,Chengdu
Company 00065,15.0,3-5 years,Associate degree,python,4,10,20,Chengdu
Company 00066,19.5,3-5 years,Bachelor degree,pythonDeveloper Engineer,5,13,26,Chengdu
Company 00067,15.0,3-5 years,Bachelor degree,pythonDeveloper Engineer (Operations Developer),2,12,18,Chengdu
Company 00068,15.0,3-5 years,Associate degree,python Senior Crawler Engineer,5,10,20,Chengdu
Company 00069,12.0,3-5 years,Bachelor degree,pythonCrawler,5,8,16,Chengdu
Company 00070,15.0,1-3 years,Bachelor degree,Python Developer,3,10,20,Chengdu
Company 00071,9.5,1-3 years,Bachelor degree,python,4,7,12,Chengdu
Company 00072,4.5,3-5 years,Bachelor degree,Python Developer,1,3,6,Chengdu
Company 00073,8.5,1-3 years,Bachelor degree,python,6,6,11,Chengdu
Company 00074,9.0,1-3 years,Bachelor degree,pythonBackend Developer Engineer,1,8,10,Chengdu
Company 00059,36.0,3-5 years,Postgraduate,Role 00007,3,24,48,Chengdu
Company 00083,10.5,Experience not required,Bachelor degree,Role 00008,1,7,14,Chengdu
Company 00088,22.5,3-5 years,Bachelor degree,Role 00012,1,15,30,Chengdu
Company 00089,27.0,3-5 years,Bachelor degree,Role 01518,3,19,35,Chengdu
