company_name,uri,salary,site,year,edu,job_name,city,pos_count
Company 03118,https://www.zhipin.com/job_detail/2c39bf87449d21cf03Ny3Ny5EFI~.html,6-8K,Guangzhou Site 00672,1-3 years,Bachelor degree,Python,guangzhou,3
Company 03119,https://www.zhipin.com/job_detail/1e4af232f3e1182a0nV80t-8EFM~.html,18-28K,Guangzhou Site 00673,Experience not required,Associate degree,Python,guangzhou,4
Company 01411,https://www.zhipin.com/job_detail/3d3d4db5a2a41dbd03N92969FlM~.html,13-25K,Guangzhou Site 00674,3-5 years,Bachelor degree,BI/PythonDeveloper Engineer,guangzhou,3
Company 03120,https://www.zhipin.com/job_detail/7e5762e19c0f784e1XB50ti5ElI~.html,7-12K,Guangzhou Site 00674,3-5 years,Associate degree,PythonDeveloper Engineer,guangzhou,5
Company 03121,https://www.zhipin.com/job_detail/4c083d704ac23f321XR52tm0FVQ~.html,5-10K,Guangzhou Site 00675,Experience not required,Associate degree,PythonEngineer,guangzhou,5
Company 00706,https://www.zhipin.com/job_detail/07fdb17356afbc8103B539q1EFI~.html,15-19K,Guangzhou Site 00674,3-5 years,Bachelor degree,pythonDeveloper Engineer,guangzhou,5
Company 03122,https://www.zhipin.com/job_detail/4c2ba00b06329eb503Ny0t26GFU~.html,15-30K x 16 salaries,Guangzhou Site 00676,Experience not required,Bachelor degree,Python Developer,guangzhou,1
Company 03123,https://www.zhipin.com/job_detail/94d25a66f546e29e1Hx50t2_EVE~.html,6-10K,Guangzhou Site 00677,1-3 years,Associate degree,Python,guangzhou,3
Company 03124,https://www.zhipin.com/job_detail/2a1e5ce5b442203203F73N--F1c~.html,10-15K,Guangzhou Site 00678,3-5 years,Bachelor degree,PythonEngineer,guangzhou,3
Company 01670,https://www.zhipin.com/job_detail/edb83d5d1011618d03d60ty8EVo~.html,9-14K x 13 salaries,Guangzhou Site 00679,1-3 years,Bachelor degree,PythonDeveloper Engineer,guangzhou,5
Company 03124,https://www.zhipin.com/job_detail/54a3f02d18b0f91f03F73N--F1A~.html,10-15K,Guangzhou Site 00678,3-5 years,Bachelor degree,PythonEngineer,guangzhou,4
Company 03125,https://www.zhipin.com/job_detail/bbb35bb10308c6cd03x-2Nm4FFI~.html,15-25K x 13 salaries,Guangzhou Site 00680,3-5 years,Associate degree,pythonDeveloper Engineer,guangzhou,3
wlaike,https://www.zhipin.com/job_detail/b6c88a0d6bd7bfd703F639u9EFo~.html,24-35K x 16 salaries,Guangzhou Site 00681,1-3 years,Bachelor degree,Python Developer,guangzhou,3
Company 00835,https://www.zhipin.com/job_detail/e2559ab92ab33db803Zz2tW1FVE~.html,25-40K,Guangzhou Site 00682,5-10 years,Associate degree,pythonAI Instructor,guangzhou,1
Company 03126,https://www.zhipin.com/job_detail/59fa280b889875e11XV40ty8EFM~.html,12-20K,Guangzhou Site 00683,1-3 years,Bachelor degree,Python Crawler Engineer,guangzhou,2
Company 03127,https://www.zhipin.com/job_detail/72f94cfb2fa7333403N43dq4GVU~.html,10-15K x 13 salaries,Guangzhou Site 00684,1-3 years,Bachelor degree,Python Developer,guangzhou,4
Company 03125,https://www.zhipin.com/job_detail/ebb8a346ea39d04b0nV639S4E1A~.html,10-15K x 13 salaries,Guangzhou Site 00682,1-3 years,Associate degree,Python,guangzhou,2
Company 03128,https://www.zhipin.com/job_detail/2dde8962b16ea8a403Fy39y9ElI~.html,9-14K,Guangzhou Site 00685,1-3 years,Associate degree,pythonCrawler Engineer,guangzhou,5
Company 03129,https://www.zhipin.com/job_detail/51ccf73ca36c85ef03N439u5EFc~.html,8-13K x 13 salaries,Guangzhou Site 00676,1-3 years,Bachelor degree,Python Developer,guangzhou,6
Company 01411,https://www.zhipin.com/job_detail/317625a0356c197d0nZz3NW0EFo~.html,10-20K,Guangzhou Site 00686,3-5 years,Bachelor degree,Python Developer,guangzhou,2
Company 03130,https://www.zhipin.com/job_detail/e2cd5a0b328f161a1HF90t69Elo~.html,10-15K,Guangzhou Site 00687,1-3 years,Bachelor degree,pythonDeveloper Engineer,guangzhou,6
Company 03131,https://www.zhipin.com/job_detail/5a11f5dd4090e13703x72t2-GVI~.html,6-11K,Guangzhou Site 00688,1-3 years,Associate degree,python,guangzhou,3
Company 03132,https://www.zhipin.com/job_detail/bf8d2139a87333321XBy3Ni6FFo~.html,10-20K,Guangzhou Site 00674,3-5 years,Bachelor degree,PythonBackend Developer Engineer,guangzhou,2
Company 03121,https://www.zhipin.com/job_detail/5343a6d5f771c41e1Hd52d29FFc~.html,4-9K,Guangzhou Site 00675,Experience not required,Associate degree,Python WEBEngineer,guangzhou,5
Company 03133,https://www.zhipin.com/job_detail/35b59395e017720303F82tW6FVI~.html,11-22K,Guangzhou Site 00684,1-3 years,Bachelor degree,Algorithm Engineer (python MySQL),guangzhou,6
Company 03134,https://www.zhipin.com/job_detail/46544fec1d11b57d1XF_2d27GVE~.html,8-16K,Guangzhou Site 00684,3-5 years,Bachelor degree,Python Engineer,guangzhou,2
Company 03135,https://www.zhipin.com/job_detail/5b4c35d7aca044de03J93du_EVY~.html,12-20K x 13 salaries,Guangzhou Site 00674,5-10 years,Bachelor degree,Python,guangzhou,1
Company 03136,https://www.zhipin.com/job_detail/3a8a4d9ae568dc580nVy2tW1FVU~.html,8-13K x 13 salaries,Guangzhou Site 00676,1-3 years,Bachelor degree,PythonDeveloper,guangzhou,5
Company 03137,https://www.zhipin.com/job_detail/ea16d39cd2a63e0a1HF83t-_F1A~.html,15-30K,Guangzhou Site 00674,Experience not required,Bachelor degree,Python Developer,guangzhou,4
Company 03138,https://www.zhipin.com/job_detail/beccc3a403aca6451XN90t61E1E~.html,8-16K,Guangzhou Site 00674,1-3 years,Bachelor degree,PythonDeveloper Engineer,guangzhou,3
Company 03139,https://www.zhipin.com/job_detail/aa96c9176293e8231Xd_0t-5E1o~.html,10-15K,Guangzhou Site 00674,1-3 years,Bachelor degree,PythonDeveloper Engineer,guangzhou,1
Company 03140,https://www.zhipin.com/job_detail/1e83f44f8a945a5e1HZ709m8ElQ~.html,12-15K,Guangzhou Site 00689,1-3 years,Bachelor degree,Python Developer,guangzhou,2
Company 03141,https://www.zhipin.com/job_detail/4926bde3c9e5fa4403d409u5F1A~.html,15-20K,Guangzhou Site 00690,3-5 years,Bachelor degree,Python Developer,guangzhou,4
Company 03142,https://www.zhipin.com/job_detail/b6992132f1a6509a03x83dW6FFA~.html,10-15K,Guangzhou Site 00691,1-3 years,Bachelor degree,Instructor (Scratch/Python/C++),guangzhou,6
Company 01411,https://www.zhipin.com/job_detail/f0b54e6196f09fcb1HZ50t66GFc~.html,15-20K,Guangzhou Site 00677,1-3 years,Bachelor degree,PythonDeveloper Engineer,guangzhou,3
Company 01161,https://www.zhipin.com/job_detail/81fddf2e3caffa341XRz3dW4E1s~.html,30-60K,Guangzhou Site 00692,5-10 years,Associate degree,Python Developer,guangzhou,1
Company 03143,https://www.zhipin.com/job_detail/b454e335945f188603F-3Nu8EVU~.html,18-35K,Guangzhou Site 00693,3-5 years,Bachelor degree,PythonDeveloper,guangzhou,3
Company 02142,https://www.zhipin.com/job_detail/b2cf83557d8c94280nR52ti0GFc~.html,25-35K x 16 salaries,Guangzhou Site 00677,Experience not required,Bachelor degree,PythonDeveloper Engineer,guangzhou,2
Company 03144,https://www.zhipin.com/job_detail/ea4536a11c72ae2e0nd43du7EFQ~.html,11-20K,Guangzhou Site 00688,1-3 years,Bachelor degree,Python Developer,guangzhou,1
Company 03145,https://www.zhipin.com/job_detail/e1e4caa3344538cf0nR42tW5F1U~.html,4-5K,Guangzhou Site 00694,Experience not required,Bachelor degree,Python Developer,guangzhou,5
Company 03146,https://www.zhipin.com/job_detail/72ac112bee45663f03d82Nm8EFE~.html,6-10K,Guangzhou Site 00680,Experience not required,Associate degree,Python Developer,guangzhou,3
Company 03126,https://www.zhipin.com/job_detail/6f7e46a5c50c53391XZy2Ny5FlI~.html,16-25K,Guangzhou Site 00683,3-5 years,Bachelor degree,Python Developer,guangzhou,6
Company 01660,https://www.zhipin.com/job_detail/e2fa1d6db193ad811XJ90t26FFQ~.html,10-15K,Guangzhou Site 00695,1-3 years,Associate degree,pythonInstructor,guangzhou,2
