company_name,uri,salary,site,year,edu,job_name,city,pos_count
Company 00005,https://www.zhipin.com/job_detail/9078cc694e34675c1XR92d--FVE~.html,10-15K,Hangzhou Site 00807,1-3 years,Bachelor degree,Python,hangzhou,3
Company 00005,https://www.zhipin.com/job_detail/8a58ca75dfa93e3f1HF829S4FFI~.html,9-13K,Hangzhou Site 00807,1-3 years,Bachelor degree,python,hangzhou,4
Company 00712,https://www.zhipin.com/job_detail/d7887ea3aef7b9c51HVz39-7GFc~.html,12-20K,Hangzhou Site 00808,3-5 years,Associate degree,python,hangzhou,2
Company 02843,https://www.zhipin.com/job_detail/e879b79dcb207baa0nRy2Nq0EVU~.html,15-30K,Hangzhou Site 00809,3-5 years,Bachelor degree,pythonDeveloper,hangzhou,2
Company 03685,https://www.zhipin.com/job_detail/da3b42a704502d1b03x_2d2-FVo~.html,15-25K,Hangzhou Site 00810,3-5 years,Bachelor degree,Python,hangzhou,2
Company 03686,https://www.zhipin.com/job_detail/cb12264252494a3b03x93t6_FlY~.html,15-20K,Hangzhou Site 00811,3-5 years,Bachelor degree,python,hangzhou,6
Company 00005,https://www.zhipin.com/job_detail/6237f65cd89614f51HR83N-1FFs~.html,7-12K,Hangzhou Site 00807,1-3 years,Bachelor degree,pythonDeveloper,hangzhou,2
Company 03370,https://www.zhipin.com/job_detail/6ca7219e4379d6b603N53t65FVc~.html,14-28K,Hangzhou Site 00812,3-5 years,Associate degree,python,hangzhou,4
Company 03687,https://www.zhipin.com/job_detail/7830c88dc9a5bdf803xz3dy8EVQ~.html,10-15K,Hangzhou Site 00813,3-5 years,Bachelor degree,PythonBackend Developer Engineer,hangzhou,4
Company 03688,https://www.zhipin.com/job_detail/f4a2e2fa45aa589403J62Ny0Els~.html,8-13K,Hangzhou Site 00814,1-3 years,Associate degree,pythonCrawler Engineer,hangzhou,5
Company 03689,https://www.zhipin.com/job_detail/13a961cd38fd6ee81HZy3921EFU~.html,15-20K,Hangzhou Site 00815,3-5 years,Bachelor degree,Python,hangzhou,5
Company 03690,https://www.zhipin.com/job_detail/3c4d32d0c039910a03J72920FVc~.html,20-35K,Hangzhou Site 00816,5-10 years,Associate degree,Senior Python,hangzhou,5
Company 00117,https://www.zhipin.com/job_detail/fe5217b5bb46c6d31XF_29S5E1Q~.html,11-18K,Hangzhou Site 00817,3-5 years,Associate degree,Python,hangzhou,1
Company 03691,https://www.zhipin.com/job_detail/5bd19915e1966e9803V439i0EVs~.html,15-20K,Hangzhou Site 00818,3-5 years,Bachelor degree,PythonCrawler Engineer,hangzhou,2
Company 00815,https://www.zhipin.com/job_detail/51ec4d644cec0e591HR729S_ElU~.html,15-25K x 15 salaries,Hangzhou Site 00819,3-5 years,Bachelor degree,pythonDeveloper Engineer,hangzhou,3
Company 01108,https://www.zhipin.com/job_detail/fb32144cb7dd765503Ry3ti8FVM~.html,8-13K,Hangzhou Site 00820,Experience not required,Bachelor degree,pythonInstructor,hangzhou,4
Company 01355,https://www.zhipin.com/job_detail/40ce04a822e8542b1Hd839q9FFQ~.html,12-15K,Hangzhou Site 00809,1-3 years,Bachelor degree,Mid-level pythonDeveloper Engineer,hangzhou,6
Company 03692,https://www.zhipin.com/job_detail/021a63be22f538931XJ90ty6Els~.html,12-18K x 13 salaries,Hangzhou Site 00819,3-5 years,Bachelor degree,Mid-level Python,hangzhou,1
Company 03693,https://www.zhipin.com/job_detail/55b7468b6a8d027203F_2ti-GFI~.html,10-15K,Hangzhou Site 00811,1-3 years,Bachelor degree,pythonEngineer,hangzhou,4
Company 03694,https://www.zhipin.com/job_detail/a7d9c3f2c769006c0nd63Ny5E1I~.html,20-40K x 17 salaries,Hangzhou Site 00821,1-3 years,Bachelor degree,Python,hangzhou,6
Company 03695,https://www.zhipin.com/job_detail/73100df8fe6a22961HZ62Nu6E1A~.html,8-12K,Hangzhou Site 00813,1-3 years,Bachelor degree,PythonEngineer,hangzhou,4
Company 03696,https://www.zhipin.com/job_detail/fffe15def367b14b0nZz29S8GFU~.html,20-40K,Hangzhou Site 00807,5-10 years,Bachelor degree,QData Python,hangzhou,2
Company 00712,https://www.zhipin.com/job_detail/5858fb2e2f3b73a303x409W4EVs~.html,14-16K,Hangzhou Site 00817,3-5 years,Bachelor degree,pythonDeveloper Test,hangzhou,6
Company 00010,https://www.zhipin.com/job_detail/2438d27b86f4e7db0nR72Ny4F1E~.html,3-8K,Hangzhou Site 00811,Experience not required,Bachelor degree,Python Developer,hangzhou,5
Company 01108,https://www.zhipin.com/job_detail/5b309f170d4960d91XR_2d61E1Q~.html,8-13K x 13 salaries,Hangzhou Site 00811,Experience not required,Bachelor degree,Python Developer,hangzhou,4
Company 03685,https://www.zhipin.com/job_detail/6b8771dd44d696b81HJ43966F1E~.html,15-25K,Hangzhou Site 00822,3-5 years,Bachelor degree,pythonEngineer,hangzhou,3
Company 03697,https://www.zhipin.com/job_detail/b9dbfb055098f9cb1nx52Nq-EFY~.html,10-15K,Hangzhou Site 00819,1-3 years,Bachelor degree,PythonEngineer,hangzhou,6
Company 03065,https://www.zhipin.com/job_detail/fb27fae44751f41c03B80t27FlE~.html,20-35K,Hangzhou Site 00809,Experience not required,Bachelor degree,Python Developer,hangzhou,4
Company 03698,https://www.zhipin.com/job_detail/35dc1d59fe6046f703Ny2929Elc~.html,10-15K,Hangzhou Site 00807,1-3 years,Bachelor degree,pythonBackend Developer Engineer,hangzhou,2
Company 00010,https://www.zhipin.com/job_detail/b033e19e8ffe73231Hd_2dS-FlA~.html,7-12K,Hangzhou Site 00808,Experience not required,Bachelor degree,PythonTeacher,hangzhou,1
Company 03699,https://www.zhipin.com/job_detail/adf110d90a228e0903Z529y5Flo~.html,10-15K,Hangzhou Site 00807,1-3 years,Bachelor degree,pythonDeveloper Engineer,hangzhou,3
Company 03700,https://www.zhipin.com/job_detail/b2cd93a8bb2dac6203By39W0GFU~.html,5-8K,Hangzhou Site 00811,1-3 years,Associate degree,Python Developer,hangzhou,1
Company 03701,https://www.zhipin.com/job_detail/68422a6f052776f003Z82Nm9EFs~.html,6-11K,Hangzhou Site 00812,Experience not required,Bachelor degree,PythonDeveloper Engineer,hangzhou,3
Company 03702,https://www.zhipin.com/job_detail/bb81b6deb041c67503N_2NW7EFo~.html,14-28K,Hangzhou Site 00819,1-3 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,3
Company 03703,https://www.zhipin.com/job_detail/11cedc2db559f0a703B72NS7EFA~.html,20-30K,Hangzhou Site 00819,1-3 years,Bachelor degree,Python developer,hangzhou,6
Company 03704,https://www.zhipin.com/job_detail/099691f79a9d05730nZ42d60EVA~.html,15-20K x 15 salaries,Hangzhou Site 00823,Experience not required,Bachelor degree,PythonDeveloper Engineer,hangzhou,2
Eigen,https://www.zhipin.com/job_detail/a0b9b39241fb18df1nF929i6FVU~.html,15-25K,Hangzhou Site 00813,3-5 years,Bachelor degree,PythonBackend Developer Engineer,hangzhou,1
Company 03705,https://www.zhipin.com/job_detail/2ae4cc5af2a55b430nd429S1EFA~.html,10-15K x 13 salaries,Hangzhou Site 00824,5-10 years,Bachelor degree,Java/PythonEngineer,hangzhou,1
Company 03706,https://www.zhipin.com/job_detail/5453e3c9cef634c21nd63Ny-F1o~.html,15-25K,Hangzhou Site 00825,1-3 years,Bachelor degree,Python Developer,hangzhou,4
Company 03707,https://www.zhipin.com/job_detail/52e3a641f5c8d4851XB_0t--F1Q~.html,14-28K,Hangzhou Site 00826,3-5 years,Bachelor degree,Python,hangzhou,1
Company 03708,https://www.zhipin.com/job_detail/903efca7268362af1HV93t-_EVU~.html,18-25K,Hangzhou Site 00809,3-5 years,Bachelor degree,Senior PythonEngineer,hangzhou,6
Company 03708,https://www.zhipin.com/job_detail/080bb2c2ccc1e3661HB62di9EFA~.html,12-18K,Hangzhou Site 00827,1-3 years,Bachelor degree,Python Developer,hangzhou,4
Company 03696,https://www.zhipin.com/job_detail/f94671824a96c8c31HF93tS1EFM~.html,9-14K,Hangzhou Site 00807,1-3 years,Bachelor degree,pythonDeveloper Engineer,hangzhou,3
Company 03709,https://www.zhipin.com/job_detail/717965dc031bfa131XNy29-8GFA~.html,3-4K,Hangzhou Site 00815,Experience not required,Bachelor degree,Python Developer,hangzhou,6
Company 03710,https://www.zhipin.com/job_detail/8d1a0334401ad94b1Hd639q6EVA~.html,18-30K,Hangzhou Site 00813,1-3 years,Bachelor degree,PythonBackend Developer Engineer,hangzhou,5
Company 02365,https://www.zhipin.com/job_detail/4a8883f12376d54f0nR52tq4FFI~.html,20-25K x 14 salaries,Hangzhou Site 00828,5-10 years,Bachelor degree,Senior Algorithm Engineer (Python/Java/Spark),hangzhou,6
Company 03711,https://www.zhipin.com/job_detail/e271297a4a864dae1Xdz3dm9FFA~.html,12-16K,Hangzhou Site 00828,3-5 years,Associate degree,PythonDeveloper Engineer,hangzhou,1
Company 03712,https://www.zhipin.com/job_detail/a5aa74ea716fb0380nd70t24FVI~.html,15-30K x 13 salaries,Hangzhou Site 00823,3-5 years,Bachelor degree,PythonSenior Developer Engineer,hangzhou,2
Company 03713,https://www.zhipin.com/job_detail/dee46bdb7fb490fd1H1-29y7FFI~.html,18-30K,Hangzhou Site 00813,1-3 years,Bachelor degree,PythonBackend Developer Engineer,hangzhou,5
Company 03714,https://www.zhipin.com/job_detail/a1a16728063becba03Z83Nu7EVQ~.html,15-25K,Hangzhou Site 00827,3-5 years,Bachelor degree,PythonEngineer,hangzhou,1
Company 03715,https://www.zhipin.com/job_detail/639980b66c2969a103d-2t69E1Y~.html,11-19K,Hangzhou Site 00829,3-5 years,Bachelor degree,Senior PythonBackend Developer Engineer,hangzhou,3
Company 03696,https://www.zhipin.com/job_detail/0f2ec266ae7bc4ae1HF93d29EVA~.html,16-22K,Hangzhou Site 00807,3-5 years,Bachelor degree,PythonSenior Developer Engineer,hangzhou,2
Company 03716,https://www.zhipin.com/job_detail/c4bb3332fe5bbb6803R-39i1Elc~.html,8-12K x 13 salaries,Hangzhou Site 00819,1-3 years,Associate degree,Python Developer,hangzhou,4
Company 03717,https://www.zhipin.com/job_detail/a10ef67330b695761HF70tq6EFE~.html,8-12K x 14 salaries,Hangzhou Site 00807,1-3 years,Bachelor degree,pythonDeveloper Engineer,hangzhou,1
Company 00010,https://www.zhipin.com/job_detail/9391c59429ca1c391HZ429u0FlY~.html,5-10K,Hangzhou Site 00830,Experience not required,Bachelor degree,Python Developer,hangzhou,5
Company 03718,https://www.zhipin.com/job_detail/5b1f36d08262c25e03J_3N-_EFA~.html,10-15K,Hangzhou Site 00828,3-5 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,4
Company 03719,https://www.zhipin.com/job_detail/6b38955a0a3e09cf0nV80ti0EFU~.html,11-20K x 13 salaries,Hangzhou Site 00831,3-5 years,Bachelor degree,Linux PythonDeveloper,hangzhou,1
Company 02332,https://www.zhipin.com/job_detail/fe2712da022461491Xxy3d28FFU~.html,8-16K,Hangzhou Site 00809,1-3 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,1
Company 01682,https://www.zhipin.com/job_detail/ff73ef431a87993503153N68GVI~.html,13-25K,Hangzhou Site 00818,1-3 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,2
Company 03720,https://www.zhipin.com/job_detail/2f684545e55137cc1nJ_2NW6GFo~.html,12-16K,Hangzhou Site 00815,3-5 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,6
Company 03708,https://www.zhipin.com/job_detail/2297cb7197ed2fe30nZ939S4GVM~.html,15-25K x 13 salaries,Hangzhou Site 00809,3-5 years,Bachelor degree,PythonEngineer (Odoo),hangzhou,2
Company 03716,https://www.zhipin.com/job_detail/f88c24a91e97265a1HZz2N61FFs~.html,8-10K,Hangzhou Site 00819,Experience not required,Associate degree,Python Developer,hangzhou,1
Company 03711,https://www.zhipin.com/job_detail/974b819c4f3226b01HNz29y7GVA~.html,13-18K,Hangzhou Site 00828,3-5 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,2
Company 03721,https://www.zhipin.com/job_detail/83ed481ace62f8801HRz39W0FVU~.html,10-15K,Hangzhou Site 00819,1-3 years,Bachelor degree,Python Developer,hangzhou,1
Company 01161,https://www.zhipin.com/job_detail/849e72ada9d8429c1XRz3dW6FVc~.html,30-60K,Hangzhou Site 00832,5-10 years,Associate degree,Python Developer,hangzhou,6
Company 03721,https://www.zhipin.com/job_detail/38c5a681e5314dc003x_09-8E1s~.html,20-40K,Hangzhou Site 00819,3-5 years,Bachelor degree,Python Developer,hangzhou,4
Company 03722,https://www.zhipin.com/job_detail/e2858ec75ffbcb040nZ-0tm-FlE~.html,2-3K,Hangzhou Site 00833,Experience not required,Bachelor degree,pythonEngineer,hangzhou,6
Company 00013,https://www.zhipin.com/job_detail/3c5c33255501676a03V63ti0Elo~.html,20-30K,Hangzhou Site 00809,3-5 years,Bachelor degree,Python Developer,hangzhou,1
Company 03695,https://www.zhipin.com/job_detail/d9b225702c7ac0ff1nN72tm9EVU~.html,15-30K,Hangzhou Site 00813,3-5 years,Master degree,PythonDeveloper Engineer,hangzhou,3
Company 00013,https://www.zhipin.com/job_detail/a2f70136ab00a51503V63ty1EFM~.html,22-30K,Hangzhou Site 00809,3-5 years,Bachelor degree,Python Developer,hangzhou,1
Company 03723,https://www.zhipin.com/job_detail/c09263df2c804d350nRz29S1EFE~.html,18-30K,Hangzhou Site 00814,3-5 years,Bachelor degree,Python WebDeveloper Engineer,hangzhou,4
Company 03724,https://www.zhipin.com/job_detail/ac805fe4024affc10nVy3di-EFE~.html,15-25K,Hangzhou Site 00823,5-10 years,Bachelor degree,PythonSenior Developer Engineer,hangzhou,1
Company 03725,https://www.zhipin.com/job_detail/2083ab112e81b3c20nR62dS1FVY~.html,13-26K x 15 salaries,Hangzhou Site 00823,Experience not required,Bachelor degree,Python Developer,hangzhou,1
Company 03726,https://www.zhipin.com/job_detail/d4c038dbd1c98e2c0nR62tm7E1Y~.html,12-24K,Hangzhou Site 00834,Experience not required,Bachelor degree,PythonDeveloper Engineer,hangzhou,6
Company 03727,https://www.zhipin.com/job_detail/c22b21abd09f2e1a0nZ40964EVY~.html,10-14K x 13 salaries,Hangzhou Site 00828,1-3 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,1
Company 03728,https://www.zhipin.com/job_detail/a68e6cd188bd97311XB-2Ni1GVU~.html,10-20K,Hangzhou Site 00809,3-5 years,Bachelor degree,Python Developer,hangzhou,1
Company 02015,https://www.zhipin.com/job_detail/da4eed1c901dd83703dy2927Flc~.html,15-22K,Hangzhou Site 00817,3-5 years,Bachelor degree,Python Developer,hangzhou,1
Company 03729,https://www.zhipin.com/job_detail/b65492f0f9ac894403Vy3tq_GVE~.html,12-24K,Hangzhou Site 00835,3-5 years,Bachelor degree,Python Developer,hangzhou,1
Company 03730,https://www.zhipin.com/job_detail/b9a13cd48abf72661nx82Nq-EVQ~.html,5-10K,Hangzhou Site 00811,Experience not required,Bachelor degree,PythonInstructor,hangzhou,2
Company 03731,https://www.zhipin.com/job_detail/19064cb890ed32741Xdz0ti7FVI~.html,9-18K,Hangzhou Site 00828,3-5 years,Bachelor degree,PythonData Engineer,hangzhou,4
Company 03728,https://www.zhipin.com/job_detail/cd57d783e90d338b1n1_29y8E1A~.html,10-20K,Hangzhou Site 00809,3-5 years,Bachelor degree,Python Developer,hangzhou,4
Company 03728,https://www.zhipin.com/job_detail/8551ce7e2d84e4ac03B60tq7FlE~.html,15-25K,Hangzhou Site 00807,1-3 years,Bachelor degree,Python Developer,hangzhou,1
Company 03731,https://www.zhipin.com/job_detail/e55ec7093975cbe903R63Nq6FlY~.html,16-30K,Hangzhou Site 00828,5-10 years,Bachelor degree,PythonFull-stack Engineer /Supervisor,hangzhou,1
Company 03721,https://www.zhipin.com/job_detail/3a23e220e1320a62031-3Nq-FVU~.html,11-22K,Hangzhou Site 00819,3-5 years,Associate degree,Python,hangzhou,2
Company 03722,https://www.zhipin.com/job_detail/15e00a9f9d4f538f0nZ-2tS-FFA~.html,3-4K,Hangzhou Site 00833,Fresh graduate,Bachelor degree,Python Developer,hangzhou,4
Company 01355,https://www.zhipin.com/job_detail/dfdeffe691661c7c1nRy3dm6EVY~.html,18-36K,Hangzhou Site 00825,5-10 years,Bachelor degree,Python,hangzhou,4
Company 03732,https://www.zhipin.com/job_detail/00f029199d888a441nJz0tm-E1c~.html,8-12K,Hangzhou Site 00819,1-3 years,Bachelor degree,Python,hangzhou,2
Company 03733,https://www.zhipin.com/job_detail/9adcbe84e943f2da03V939u8GVs~.html,5-10K,Hangzhou Site 00811,Less than 1 year,Bachelor degree,Python Developer,hangzhou,4
Company 03734,https://www.zhipin.com/job_detail/94f3c9c3307b3be603V83N-8ElY~.html,8-13K,Hangzhou Site 00821,1-3 years,Bachelor degree,Python Developer,hangzhou,3
Company 03735,https://www.zhipin.com/job_detail/e9422328d9c7d96e0nR62928FVo~.html,13-26K,Hangzhou Site 00812,3-5 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,4
Company 02015,https://www.zhipin.com/job_detail/00c8f67060cb76ba0nR90960EFM~.html,12-24K x 14 salaries,Hangzhou Site 00817,1-3 years,Bachelor degree,Python Engineer,hangzhou,4
Company 03725,https://www.zhipin.com/job_detail/95eb31dc18ab4e4a0nR70tS7FFE~.html,13-26K x 15 salaries,Hangzhou Site 00836,1-3 years,Bachelor degree,Python Developer,hangzhou,4
Company 03736,https://www.zhipin.com/job_detail/cc9c3cdc057c06a21H163Nu7EFU~.html,20-30K,Hangzhou Site 00837,3-5 years,Bachelor degree,Python Developer,hangzhou,1
Company 01108,https://www.zhipin.com/job_detail/997fd22720455bdc1XR-2tq8EVs~.html,10-15K,Hangzhou Site 00838,Experience not required,Education not specified,PythonInstructor,hangzhou,6
Company 01108,https://www.zhipin.com/job_detail/7a5563721c5cf9c71XR-2NS4EFA~.html,10-15K,Hangzhou Site 00838,Experience not required,Education not specified,Python Developer,hangzhou,4
Company 03694,https://www.zhipin.com/job_detail/66ebf8cecd37b5bb1Xd93t-6E1E~.html,15-30K,Hangzhou Site 00811,1-3 years,Bachelor degree,Python,hangzhou,1
Company 03737,https://www.zhipin.com/job_detail/2d845b390ca3e5941HFz2tm1F1s~.html,4-9K,Hangzhou Site 00839,Experience not required,Bachelor degree,Python Instructor,hangzhou,2
Company 03696,https://www.zhipin.com/job_detail/e0d0acc8f275f8f203x_3Nu1FVA~.html,25-35K,Hangzhou Site 00807,5-10 years,Bachelor degree,PythonArchitect,hangzhou,6
Company 03738,https://www.zhipin.com/job_detail/1dd1a0dec2db8adb1Hdy3ty7FFs~.html,6-11K,Hangzhou Site 00840,1-3 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,6
Company 03696,https://www.zhipin.com/job_detail/ed205b113799dcb003x_3Nu7GVU~.html,20-30K,Hangzhou Site 00807,3-5 years,Bachelor degree,PythonSenior Engineer,hangzhou,6
Company 03739,https://www.zhipin.com/job_detail/a94aabc14d2a24b91XR93d29GVI~.html,20-40K,Hangzhou Site 00819,Experience not required,Bachelor degree,Python Developer,hangzhou,5
Company 03737,https://www.zhipin.com/job_detail/571ab685ba9893c31XR-2tS9EFc~.html,10-15K,Hangzhou Site 00839,1-3 years,Bachelor degree,"Senior Instructor (Python, C++)",hangzhou,2
Company 02251,https://www.zhipin.com/job_detail/a8bebcec55ab7a771HBy3dS0FVc~.html,10-15K,Hangzhou Site 00817,1-3 years,Bachelor degree,Python Developer,hangzhou,3
Company 03740,https://www.zhipin.com/job_detail/d2e22557944dbf8d03d52ty_Flc~.html,8-10K x 13 salaries,Hangzhou Site 00841,1-3 years,Bachelor degree,python webDeveloper Engineer,hangzhou,5
Company 03720,https://www.zhipin.com/job_detail/11be0b4f9c6536ee0HR93N61Fw~~.html,13-18K x 13 salaries,Hangzhou Site 00828,3-5 years,Education not specified,Python,hangzhou,1
Company 03714,https://www.zhipin.com/job_detail/1f872307a4f32720031_3tS6GFM~.html,13-25K,Hangzhou Site 00809,5-10 years,Bachelor degree,pythonDeveloper,hangzhou,1
Company 01108,https://www.zhipin.com/job_detail/9d5621741280323f031-09W0FFs~.html,8-13K,Hangzhou Site 00842,1-3 years,Master degree,Python,hangzhou,2
Company 03741,https://www.zhipin.com/job_detail/aca84b0faeb2861603Fz3dq9E1I~.html,5-10K,Hangzhou Site 00812,Experience not required,Bachelor degree,Python,hangzhou,4
Company 03742,https://www.zhipin.com/job_detail/d1686fe6327984c61Hd60t68E1A~.html,12-16K,Hangzhou Site 00819,3-5 years,Bachelor degree,Senior PythonFull-stack Engineer,hangzhou,2
Company 01196,https://www.zhipin.com/job_detail/6612eab7a23cb5911H182Nu7GVA~.html,9-14K,Hangzhou Site 00843,1-3 years,Bachelor degree,PythonDeveloper Engineer,hangzhou,2
