company_name,uri,salary,site,year,edu,job_name,city,pos_count
Company 00615,https://www.zhipin.com/job_detail/198de03d374e3f8c0nRy3tm9FVU~.html,15-30K,Nanjing Site 00120,3-5 years,Bachelor degree,Python,nanjing,5
Company 00117,https://www.zhipin.com/job_detail/4599ec52753772c103Z43Nu9Flc~.html,10-15K,Nanjing Site 00121,1-3 years,Bachelor degree,python,nanjing,1
Company 00616,https://www.zhipin.com/job_detail/37971b114b00b47d03N82tq7FFA~.html,11-18K,Nanjing Site 00122,1-3 years,Bachelor degree,Python,nanjing,2
Company 00005,https://www.zhipin.com/job_detail/f6978cd68f80168103d93Ny4FVE~.html,10-15K,Nanjing Site 00123,1-3 years,Bachelor degree,python,nanjing,6
Company 00617,https://www.zhipin.com/job_detail/6cdfe696386e80fb1nF82N21FFU~.html,8-15K,Nanjing Site 00124,Experience not required,Bachelor degree,python,nanjing,6
Company 00117,https://www.zhipin.com/job_detail/716b6ebf61b5859f03x83tS5GFo~.html,9-14K,Nanjing Site 00121,1-3 years,Bachelor degree,PythonDeveloper,nanjing,4
Company 00618,https://www.zhipin.com/job_detail/4cc0720764eba7b51n1429u-GVo~.html,4-8K,Nanjing Site 00125,Experience not required,Bachelor degree,Python,nanjing,2
Company 00619,https://www.zhipin.com/job_detail/0de49d3ca4dc40d703Z80tS4GVs~.html,9-14K,Nanjing Site 00126,Experience not required,Bachelor degree,Python,nanjing,6
newlixon,https://www.zhipin.com/job_detail/d04cbc591e0cb9521HZ_0tq8F1c~.html,10-15K,Nanjing Site 00127,3-5 years,Bachelor degree,PythonEngineer,nanjing,5
Company 00616,https://www.zhipin.com/job_detail/4b9ff779ba6b4b3c1nZ52Nq9GFA~.html,11-20K,Nanjing Site 00122,Less than 1 year,Bachelor degree,Python,nanjing,1
Company 00616,https://www.zhipin.com/job_detail/785c0cad40501b7403Z52tu9GFA~.html,10-15K x 14 salaries,Nanjing Site 00122,1-3 years,Bachelor degree,pythonCrawler Engineer,nanjing,3
Company 00620,https://www.zhipin.com/job_detail/c057198c108228bd03Ry2dW1F1I~.html,10-15K,Nanjing Site 00122,5-10 years,Associate degree,Python,nanjing,3
Company 00010,https://www.zhipin.com/job_detail/28d40281c6726cdb1Hd-2t-0FFc~.html,6-11K,Nanjing Site 00128,Experience not required,Bachelor degree,PythonTeacher,nanjing,4
Company 00621,https://www.zhipin.com/job_detail/a938af4b2844b5b31XRy3dy0GVY~.html,20-40K,Nanjing Site 00129,3-5 years,Master degree,Python,nanjing,2
Company 00616,https://www.zhipin.com/job_detail/9b31e3751c6829650n152N-8FA~~.html,12-20K,Nanjing Site 00122,1-3 years,Bachelor degree,Python,nanjing,5
Company 00622,https://www.zhipin.com/job_detail/696253b60039da9c1X1y09y9F1c~.html,10-11K,Nanjing Site 00127,3-5 years,Associate degree,Python,nanjing,4
Company 00623,https://www.zhipin.com/job_detail/6f181632f4ed76f60nV509i6GFM~.html,10-12K,Nanjing Site 00130,Experience not required,Bachelor degree,PythonInstructor,nanjing,2
newlixon,https://www.zhipin.com/job_detail/b7ee203ab6b8e0131HZ_0tq-EVs~.html,20-27K,Nanjing Site 00127,5-10 years,Bachelor degree,Senior PythonEngineer,nanjing,3
Company 00624,https://www.zhipin.com/job_detail/c0fa7e58055a2ef90nZy29W6F1I~.html,8-11K,Nanjing Site 00122,3-5 years,Bachelor degree,Python Developer,nanjing,3
Webeye,https://www.zhipin.com/job_detail/17015945f9c663351HZz2du4EFM~.html,16-30K,Nanjing Site 00127,3-5 years,Bachelor degree,PythonBackend Developer Engineer,nanjing,3
Company 00625,https://www.zhipin.com/job_detail/7805b6b395fe6dc51n192920Flc~.html,15-20K,Nanjing Site 00120,3-5 years,Bachelor degree,Python,nanjing,5
Webeye,https://www.zhipin.com/job_detail/26d83d3930dc989d1H1809W4GFM~.html,10-15K x 13 salaries,Nanjing Site 00127,1-3 years,Bachelor degree,pythonDeveloper,nanjing,4
Company 00626,https://www.zhipin.com/job_detail/0688b669a23872ff1nF93t60EVM~.html,10-15K,Nanjing Site 00120,3-5 years,Associate degree,pythonCrawler Engineer,nanjing,4
Company 00627,https://www.zhipin.com/job_detail/868c044e9ca02a9a0nVz39i4GVI~.html,15-20K,Nanjing Site 00120,Experience not required,Bachelor degree,PythonEngineer,nanjing,4
Company 00628,https://www.zhipin.com/job_detail/d05cb55cbc5544861HN92tS7EVc~.html,5-8K,Nanjing Site 00127,3-5 years,Bachelor degree,PythonProgrammer,nanjing,3
Company 00629,https://www.zhipin.com/job_detail/1e28f4d289ee496a1nxz3dm8E1Y~.html,15-30K x 13 salaries,Nanjing Site 00131,Experience not required,Bachelor degree,PythonSenior Engineer,nanjing,1
Company 00630,https://www.zhipin.com/job_detail/c29b412efe22777903N-2dW0GVo~.html,10-15K,Nanjing Site 00132,1-3 years,Bachelor degree,pythonEngineer,nanjing,4
Company 00631,https://www.zhipin.com/job_detail/14893eff0657bc6b0nZ82Nq4ElU~.html,8-12K,Nanjing Site 00133,1-3 years,Bachelor degree,pythonDeveloper Engineer,nanjing,2
Company 00632,https://www.zhipin.com/job_detail/8785200ab1297d6a1HZ-3tq4GVM~.html,8-13K,Nanjing Site 00134,1-3 years,Bachelor degree,PythonBackend Developer Engineer,nanjing,3
Company 00633,https://www.zhipin.com/job_detail/66914c6d6bd0256703V939i7F1I~.html,5-10K,Nanjing Site 00131,Experience not required,Associate degree,pythonCrawler Engineer,nanjing,1
Company 00634,https://www.zhipin.com/job_detail/a11ecdc6ee0744ff03N72ti6FVM~.html,9-14K x 13 salaries,Nanjing Site 00127,1-3 years,Bachelor degree,pythonDeveloper Test Engineer,nanjing,5
Company 00630,https://www.zhipin.com/job_detail/81fb8b1de690e96d0nRz3tW8FVM~.html,10-15K,Nanjing Site 00132,1-3 years,Bachelor degree,python (Crawler Engineer),nanjing,2
Webeye,https://www.zhipin.com/job_detail/0d60e3fcaf7b006903R-39-0EFM~.html,12-24K x 13 salaries,Nanjing Site 00127,3-5 years,Bachelor degree,pythonDeveloper,nanjing,1
Company 00635,https://www.zhipin.com/job_detail/2140c1674fcea44803143d-0GFY~.html,10-15K x 13 salaries,Nanjing Site 00127,3-5 years,Bachelor degree,PythonDeveloper,nanjing,4
Company 00636,https://www.zhipin.com/job_detail/4b9590d26fb164d41XB72dy6FVQ~.html,20-40K x 16 salaries,Nanjing Site 00128,3-5 years,Master degree,Python Developer,nanjing,2
Company 00637,https://www.zhipin.com/job_detail/cc3c76e1193e84ff0nR929i-GFs~.html,7-8K,Nanjing Site 00135,Experience not required,Bachelor degree,PythonDeveloper Engineer,nanjing,4
Company 00638,https://www.zhipin.com/job_detail/85c3acfb4ede4fec1Hx80tW0GFM~.html,10-15K,Nanjing Site 00136,1-3 years,Associate degree,PythonDeveloper Engineer,nanjing,4
Company 00639,https://www.zhipin.com/job_detail/21508e6e7d2c88f503R609-8EFc~.html,8-13K,Nanjing Site 00137,1-3 years,Bachelor degree,PythonDeveloper Engineer,nanjing,4
