company_name,uri,salary,site,year,edu,job_name,city,pos_count
Company 00091,https://www.zhipin.com/job_detail/097276ac7a2f071803Zz2d25FlA~.html,9-14K,Shanghai Site 00222,3-5 years,Bachelor degree,Python Developer,shanghai,5
Company 00005,https://www.zhipin.com/job_detail/c4cd47cc11d05c0b03N53Nu-EFc~.html,12-23K,Shanghai Site 00223,3-5 years,Bachelor degree,python,shanghai,4
ZStack,https://www.zhipin.com/job_detail/b1fae466313ab2d30nZz09u9GVA~.html,15-25K,Shanghai Site 00224,1-3 years,Bachelor degree,pythonBackend,shanghai,3
Company 01090,https://www.zhipin.com/job_detail/7441219e2d4e4b7703J-3du0E1M~.html,15-25K x 13 salaries,Shanghai Site 00225,3-5 years,Bachelor degree,python,shanghai,1
Company 01091,https://www.zhipin.com/job_detail/daa166a58b2eefa703B92d24F1c~.html,20-30K,Shanghai Site 00223,3-5 years,Bachelor degree,Python Developer,shanghai,5
Company 01092,https://www.zhipin.com/job_detail/f0bfd86ef838ed281HF52dm6GFI~.html,12-24K,Shanghai Site 00226,3-5 years,Associate degree,PythonEngineer,shanghai,2
Company 01093,https://www.zhipin.com/job_detail/7f189b335f641f1b03N50tq8ElY~.html,15-25K,Shanghai Site 00227,1-3 years,Bachelor degree,Python,shanghai,6
Company 00010,https://www.zhipin.com/job_detail/b76326ac1c2ea5311HF_29q4Flo~.html,8-12K,Shanghai Site 00228,1-3 years,Bachelor degree,Python Developer,shanghai,5
Company 00010,https://www.zhipin.com/job_detail/e09f10c5c05ab9681HZ4392_FFE~.html,6-11K,Shanghai Site 00229,Experience not required,Bachelor degree,Python Developer,shanghai,6
Company 01094,https://www.zhipin.com/job_detail/537dc00b8481fdb603d63Nu8GFM~.html,20-30K,Shanghai Site 00230,3-5 years,Bachelor degree,PythonData Engineer,shanghai,2
Company 01095,https://www.zhipin.com/job_detail/ad26fe318cce56d803Z83d21EFM~.html,11-12K x 13 salaries,Shanghai Site 00231,1-3 years,Bachelor degree,Python,shanghai,6
Student.com,https://www.zhipin.com/job_detail/fcdebaaa1a9fef0803F83tW1EFY~.html,11-20K,Shanghai Site 00232,1-3 years,Bachelor degree,PythonDeveloper Engineer,shanghai,2
Company 00010,https://www.zhipin.com/job_detail/f5d6328f6bd1eb6c1HF_29i7GFo~.html,5-10K,Shanghai Site 00228,Experience not required,Bachelor degree,PythonInstructor,shanghai,6
Company 01096,https://www.zhipin.com/job_detail/4aa2853b880711241nZ829y7EFU~.html,10-20K,Shanghai Site 00233,1-3 years,Bachelor degree,Python,shanghai,4
Company 00010,https://www.zhipin.com/job_detail/d7ac9983bcabdcf81XB62968FlE~.html,6-7K,Shanghai Site 00229,Experience not required,Bachelor degree,PythonTeacher,shanghai,3
Company 01097,https://www.zhipin.com/job_detail/865c7f10b0815ca00nVz3dW_ElU~.html,5-8K,Shanghai Site 00234,Experience not required,Associate degree,Python Developer,shanghai,5
Company 01098,https://www.zhipin.com/job_detail/d0d7618553f4e4be1Xxz2tW9GVE~.html,13-20K,Shanghai Site 00235,3-5 years,Bachelor degree,Python,shanghai,4
Company 01099,https://www.zhipin.com/job_detail/5bd3e5eb8cc2027f1HB-2tW6FFY~.html,15-20K,Shanghai Site 00236,3-5 years,Bachelor degree,pythonEngineer,shanghai,1
Company 00026,https://www.zhipin.com/job_detail/324ff27283f6dd4903J839-6Els~.html,25-40K,Shanghai Site 00237,3-5 years,Bachelor degree,PythonDeveloper Engineer,shanghai,1
Company 01097,https://www.zhipin.com/job_detail/ec81ba37aa0d54980nd709y0EFA~.html,5-8K,Shanghai Site 00238,Experience not required,Associate degree,Python Developer,shanghai,5
Company 01100,https://www.zhipin.com/job_detail/4949fdf7655122d81HV70t24FVE~.html,11-20K,Shanghai Site 00232,3-5 years,Bachelor degree,Python,shanghai,6
Company 01101,https://www.zhipin.com/job_detail/e2b7d25259a8e6bd0nJz3ty5GA~~.html,5-10K,Shanghai Site 00239,Experience not required,Bachelor degree,pythonEngineer,shanghai,3
ATA,https://www.zhipin.com/job_detail/47dc36ed79b82e4a0nZ83t6_EVQ~.html,12-13K,Shanghai Site 00240,3-5 years,Bachelor degree,PythonDeveloper Engineer,shanghai,4
Company 01102,https://www.zhipin.com/job_detail/fa925394d3739b681XRy2tm0F1A~.html,12-24K,Shanghai Site 00241,3-5 years,Bachelor degree,PythonEngineer,shanghai,5
Company 00005,https://www.zhipin.com/job_detail/966c7cfbdabb9ef30nR40926GFc~.html,11-20K,Shanghai Site 00233,Experience not required,Bachelor degree,PythonAutomation Test,shanghai,3
Company 01103,https://www.zhipin.com/job_detail/2aeff0c274e55ed41X152Nq4FFs~.html,25-50K,Shanghai Site 00240,3-5 years,Bachelor degree,Python Engineer,shanghai,6
Company 01104,https://www.zhipin.com/job_detail/4fd3e18fde0fdb720nR42tq4EVE~.html,15-25K x 14 salaries,Shanghai Site 00241,3-5 years,Bachelor degree,Senior pythonBackend Developer Engineer,shanghai,1
Company 01105,https://www.zhipin.com/job_detail/f19fd84a209c72121HN42t-9FVo~.html,15-20K,Shanghai Site 00240,3-5 years,Associate degree,PythonDeveloper Engineer,shanghai,3
Company 01106,https://www.zhipin.com/job_detail/db32cf35fcb5f66a1nB929S_EFI~.html,20-30K x 13 salaries,Shanghai Site 00242,3-5 years,Bachelor degree,PythonSenior Engineer,shanghai,2
Company 01107,https://www.zhipin.com/job_detail/2592f163277e46ad1HZ609u9ElE~.html,12-18K,Shanghai Site 00227,3-5 years,Bachelor degree,PythonBackend Engineer,shanghai,6
DaoCloud,https://www.zhipin.com/job_detail/17c078b132f721971nB829u8EVE~.html,18-25K,Shanghai Site 00237,3-5 years,Bachelor degree,Python,shanghai,6
Company 01108,https://www.zhipin.com/job_detail/b7a05ccfaae320891HB92N28GFo~.html,8-13K,Shanghai Site 00228,Experience not required,Bachelor degree,Python Developer,shanghai,4
Company 01097,https://www.zhipin.com/job_detail/8f38ee3efec8a4960nV_3dy0EFY~.html,5-8K,Shanghai Site 00234,Fresh graduate,Bachelor degree,Python Developer,shanghai,5
Company 01109,https://www.zhipin.com/job_detail/d38d2b688c466ef01HBy09m0EVA~.html,15-30K,Shanghai Site 00240,1-3 years,Associate degree,Python,shanghai,4
Company 01110,https://www.zhipin.com/job_detail/a1c5120f49a593d21HB43964GVc~.html,15-25K,Shanghai Site 00243,3-5 years,Bachelor degree,PythonDeveloper (Automation Test),shanghai,5
Company 01111,https://www.zhipin.com/job_detail/327d422d6006b13f1nBy29y9ElA~.html,15-25K,Shanghai Site 00244,Experience not required,Bachelor degree,Test Developer python,shanghai,3
Company 01112,https://www.zhipin.com/job_detail/d825e63fb60c332903R429m9FlI~.html,18-35K,Shanghai Site 00245,3-5 years,Bachelor degree,PythonDeveloper Engineer,shanghai,6
Company 01113,https://www.zhipin.com/job_detail/922558339d0039631ndy0tW9EFI~.html,18-25K,Shanghai Site 00231,3-5 years,Associate degree,Senior pythonDeveloper Engineer,shanghai,4
Company 00117,https://www.zhipin.com/job_detail/e69ccfb3399438ea03Z529i7EVA~.html,11-22K,Shanghai Site 00233,1-3 years,Bachelor degree,PythonDeveloper,shanghai,2
Company 01114,https://www.zhipin.com/job_detail/7bf281688503ce971XV63d-7E1s~.html,9-14K,Shanghai Site 00227,3-5 years,Bachelor degree,Python,shanghai,4
Company 01115,https://www.zhipin.com/job_detail/85876c5449ab25041n1429i1E1M~.html,14-28K,Shanghai Site 00246,5-10 years,Bachelor degree,PythonDeveloper Engineer,shanghai,5
Company 00059,https://www.zhipin.com/job_detail/386655aef98fce141Xd52NW9EFE~.html,30-45K x 16 salaries,Shanghai Site 00223,3-5 years,Bachelor degree,Python,shanghai,3
Company 01116,https://www.zhipin.com/job_detail/8e502b959e496d2f1HV70tS_GVI~.html,20-35K,Shanghai Site 00247,3-5 years,Bachelor degree,Django/ Python/ Backend Engineer,shanghai,4
Company 01117,https://www.zhipin.com/job_detail/716549bb7e02bbcb03R939W5Fls~.html,8-12K,Shanghai Site 00228,1-3 years,Bachelor degree,pythonDeveloper Engineer,shanghai,6
altenchina,https://www.zhipin.com/job_detail/bd8c42abbea56fb81Hd92di8FFA~.html,10-15K,Shanghai Site 00229,Less than 1 year,Bachelor degree,pythonDeveloper,shanghai,2
Company 01113,https://www.zhipin.com/job_detail/b28679778b370f381HVz39m0EVc~.html,15-25K,Shanghai Site 00248,1-3 years,Bachelor degree,PythonDeveloper Engineer,shanghai,1
Company 01118,https://www.zhipin.com/job_detail/5bc7b9fdc8fbbfb71nJ42ti-FA~~.html,13-20K,Shanghai Site 00235,3-5 years,Bachelor degree,Python Developer,shanghai,6
Company 00796,https://www.zhipin.com/job_detail/0542dbdebcd20f0103x90tS7F1Q~.html,12-24K,Shanghai Site 00241,1-3 years,Bachelor degree,Operations Developer Engineer (python),shanghai,2
Company 01119,https://www.zhipin.com/job_detail/0c99900aa2bc1646031-39y8Flo~.html,13-25K,Shanghai Site 00249,1-3 years,Bachelor degree,Python Developer,shanghai,3
Company 01120,https://www.zhipin.com/job_detail/e7159261155ee8950nV-2N-7ElY~.html,15-25K,Shanghai Site 00250,3-5 years,Bachelor degree,Python Developer,shanghai,6
Company 01121,https://www.zhipin.com/job_detail/42ae4a78a00cb72603Bz39u0EFU~.html,20-40K x 13 salaries,Shanghai Site 00240,3-5 years,Associate degree,Senior pythonEngineer,shanghai,4
Company 01122,https://www.zhipin.com/job_detail/9aefeeabfe6eb76103x539W7FlY~.html,15-25K x 13 salaries,Shanghai Site 00236,3-5 years,Associate degree,pythonDeveloper,shanghai,5
Company 01123,https://www.zhipin.com/job_detail/64c3129b1eb65d101HV-2N61EVY~.html,20-30K,Shanghai Site 00251,5-10 years,Bachelor degree,PythonDeveloper Engineer,shanghai,2
Company 00005,https://www.zhipin.com/job_detail/b1b73b7128d691eb1Xd82dm9EVA~.html,10-20K,Shanghai Site 00233,1-3 years,Bachelor degree,PythonDeveloper Engineer,shanghai,5
Company 01124,https://www.zhipin.com/job_detail/a92c1ddf0384e92703N839y0EFs~.html,20-30K,Shanghai Site 00228,5-10 years,Bachelor degree,Senior PythonDeveloper Engineer,shanghai,2
Company 00005,https://www.zhipin.com/job_detail/a080a1113861731a03N42tu8F1c~.html,11-20K,Shanghai Site 00233,1-3 years,Bachelor degree,PythonAutomation Test,shanghai,6
Company 01125,https://www.zhipin.com/job_detail/fc4cadd0668dc90f0nV929y_GVs~.html,13-26K x 14 salaries,Shanghai Site 00229,1-3 years,Bachelor degree,Python Developer,shanghai,4
