company_name,uri,salary,site,year,edu,job_name,city,pos_count
Company 00089,https://www.zhipin.com/job_detail/d70748aa24d71c551nZ92Nm8FVc~.html,25-50K,Shenzhen Site 00364,3-5 years,Bachelor degree,Python,shenzhen,6
Company 00089,https://www.zhipin.com/job_detail/98f36fd529eff4e61Xd40tW1GFM~.html,20-30K,Shenzhen Site 00364,3-5 years,Bachelor degree,Python,shenzhen,3
Company 00706,https://www.zhipin.com/job_detail/301df4aeb4bd78941nV-3dm-E1Y~.html,7-14K,Shenzhen Site 00365,1-3 years,Bachelor degree,python,shenzhen,5
Company 00005,https://www.zhipin.com/job_detail/c45002d8f44bbd2803R42N60EVc~.html,11-20K,Shenzhen Site 00366,3-5 years,Bachelor degree,Python,shenzhen,3
Company 00005,https://www.zhipin.com/job_detail/8442917f2a0c84b21XFy2Nm_ElU~.html,13-26K,Shenzhen Site 00366,3-5 years,Bachelor degree,PythonDeveloper,shenzhen,3
Company 00137,https://www.zhipin.com/job_detail/05d8141927a4901803x62tm_GVo~.html,13-17K,Shenzhen Site 00367,3-5 years,Bachelor degree,Python,shenzhen,5
Company 00740,https://www.zhipin.com/job_detail/34cf17a8b910ac871HZz2tq7F1o~.html,8-13K,Shenzhen Site 00366,1-3 years,Bachelor degree,python,shenzhen,3
Company 01637,https://www.zhipin.com/job_detail/6048de5749565fc81HZ539-4EFs~.html,10-15K,Shenzhen Site 00366,1-3 years,Associate degree,PythonEngineer,shenzhen,6
Company 01638,https://www.zhipin.com/job_detail/d9164ddf9bb9b90903x529m-FVI~.html,10-11K,Shenzhen Site 00368,Less than 1 year,Bachelor degree,Python,shenzhen,3
Company 01639,https://www.zhipin.com/job_detail/84c85801c1cafbb31XV509m4FVI~.html,8-16K,Shenzhen Site 00366,1-3 years,Bachelor degree,Python,shenzhen,4
Company 00137,https://www.zhipin.com/job_detail/75a3b9348b19269403x62dy5EVc~.html,10-15K,Shenzhen Site 00367,3-5 years,Bachelor degree,PythonDeveloper,shenzhen,3
Company 01292,https://www.zhipin.com/job_detail/498ae03fb582c0b70nZ42Nu-FVQ~.html,8-13K x 13 salaries,Shenzhen Site 00369,1-3 years,Bachelor degree,Python Developer,shenzhen,5
Company 00137,https://www.zhipin.com/job_detail/5d2f90416eba23b20nV52NS5FVc~.html,10-13K,Shenzhen Site 00367,3-5 years,Bachelor degree,PythonEngineer,shenzhen,4
Company 01640,https://www.zhipin.com/job_detail/023c0c20752c998a03Z93Nu1GFE~.html,12-24K,Shenzhen Site 00370,1-3 years,Bachelor degree,PythonEngineer,shenzhen,5
Company 01640,https://www.zhipin.com/job_detail/1c77a36238ecceea03Z93Nq9FVI~.html,15-30K,Shenzhen Site 00371,1-3 years,Bachelor degree,Senior PythonEngineer,shenzhen,1
Company 01641,https://www.zhipin.com/job_detail/738dee26f0a6a0260nRz3du9FVc~.html,15-25K,Shenzhen Site 00372,1-3 years,Bachelor degree,PythonEngineer,shenzhen,3
Company 01642,https://www.zhipin.com/job_detail/39502497a3e73dfb0nZ_2927EVU~.html,15-30K,Shenzhen Site 00366,5-10 years,Bachelor degree,Senior pythonEngineer,shenzhen,6
Company 01643,https://www.zhipin.com/job_detail/da3c21b497a049e60nV63Nu6FlU~.html,12-18K,Shenzhen Site 00372,1-3 years,Bachelor degree,Python Developer,shenzhen,3
Company 00835,https://www.zhipin.com/job_detail/b82250f61ef283f703Fy0ty6ElQ~.html,30-50K,Shenzhen Site 00373,3-5 years,Bachelor degree,pythonAI Instructor,shenzhen,5
Company 01108,https://www.zhipin.com/job_detail/42a48d5f342a3a7b1XZ42tq1FFo~.html,9-15K,Shenzhen Site 00374,Less than 1 year,Bachelor degree,Python Developer,shenzhen,2
Company 01644,https://www.zhipin.com/job_detail/94c9319acd7b34570nZ93924GFY~.html,15-27K,Shenzhen Site 00375,Experience not required,Education not specified,python,shenzhen,1
Company 01645,https://www.zhipin.com/job_detail/c3ae914805cbfe5a03F-09-5FFc~.html,10-15K,Shenzhen Site 00364,3-5 years,Associate degree,pythonBackend,shenzhen,6
Company 01640,https://www.zhipin.com/job_detail/42140365a48e8d000nZ639-0E1I~.html,20-35K,Shenzhen Site 00371,3-5 years,Bachelor degree,Senior PythonEngineer,shenzhen,4
Company 01646,https://www.zhipin.com/job_detail/a79aeb0b3b67524f03N82928EFA~.html,16-25K,Shenzhen Site 00364,3-5 years,Bachelor degree,python,shenzhen,3
Company 01647,https://www.zhipin.com/job_detail/a95c96823df9ca450nd63d2_FVQ~.html,12-24K,Shenzhen Site 00376,5-10 years,Bachelor degree,PythonEngineer,shenzhen,1
Company 01648,https://www.zhipin.com/job_detail/cf13211063a6beb70nVz3dy_FFE~.html,15-20K,Shenzhen Site 00372,3-5 years,Bachelor degree,Senior pythonEngineer,shenzhen,1
Company 01649,https://www.zhipin.com/job_detail/d43a8f69dddbf4cb1HVy3968FFA~.html,15-30K,Shenzhen Site 00377,3-5 years,Associate degree,Python Developer,shenzhen,1
Company 00610,https://www.zhipin.com/job_detail/ffa1f02a412ab8071nxy2tW_E1o~.html,15-30K,Shenzhen Site 00364,3-5 years,Bachelor degree,Operations Developer (Java/python),shenzhen,3
Company 01650,https://www.zhipin.com/job_detail/404962da40521f6b03J-29S4F1o~.html,13-18K,Shenzhen Site 00364,3-5 years,Bachelor degree,python,shenzhen,2
Company 01651,https://www.zhipin.com/job_detail/4271a6c20f89113a03x909-9ElA~.html,10-15K,Shenzhen Site 00364,3-5 years,Bachelor degree,pythonDeveloper,shenzhen,3
Company 01161,https://www.zhipin.com/job_detail/851c191b441511881XZ63dm5F1E~.html,30-60K,Shenzhen Site 00378,5-10 years,Associate degree,Python Developer,shenzhen,4
AKULAKU,https://www.zhipin.com/job_detail/fb4778768ff229e21nJ63N21F1c~.html,15-30K,Shenzhen Site 00364,3-5 years,Bachelor degree,Python Developer,shenzhen,4
Company 01652,https://www.zhipin.com/job_detail/9b8c02cc45a3e8f11XZ-2dq1EFY~.html,8-13K,Shenzhen Site 00379,1-3 years,Bachelor degree,pythonEngineer,shenzhen,3
Company 00137,https://www.zhipin.com/job_detail/5b7b5dc839fe4a1303x62t66EVc~.html,12-18K,Shenzhen Site 00364,3-5 years,Bachelor degree,PythonDeveloper Engineer,shenzhen,1
XtalPi,https://www.zhipin.com/job_detail/e337af3f6727fe4303V40tW1E1o~.html,11-20K,Shenzhen Site 00380,1-3 years,Bachelor degree,PythonBackend Engineer,shenzhen,2
Company 00180,https://www.zhipin.com/job_detail/b8156de4b71bff4403F63t-7FVU~.html,10-15K x 13 salaries,Shenzhen Site 00367,3-5 years,Bachelor degree,PythonEngineer,shenzhen,3
Company 00089,https://www.zhipin.com/job_detail/4fc359d120ed659a1HN429S1EVU~.html,20-40K,Shenzhen Site 00364,5-10 years,Bachelor degree,Senior Operations Developer Engineer (python),shenzhen,4
Company 00117,https://www.zhipin.com/job_detail/057f26bb7fb9ce0503V72dW9GFI~.html,11-20K,Shenzhen Site 00366,3-5 years,Bachelor degree,pythonDeveloper Engineer,shenzhen,5
