company_name,uri,salary,site,year,edu,job_name,city,pos_count
Company 00722,https://www.zhipin.com/job_detail/d3260338568f75cd03x60t6-E1c~.html,15-30K x 14 salaries,Wuhan Site 00579,3-5 years,Bachelor degree,Python,wuhan,6
Company 02620,https://www.zhipin.com/job_detail/df97dd26ec6c209b0XZy09q_EA~~.html,10-15K,Wuhan Site 00580,3-5 years,Bachelor degree,Python,wuhan,5
Company 02621,https://www.zhipin.com/job_detail/22f3bb2f499ddf2b03Jz09W-GFY~.html,9-14K,Wuhan Site 00581,Experience not required,Bachelor degree,Python,wuhan,1
Company 00767,https://www.zhipin.com/job_detail/fe6a3a4198eb1c301XZ509S0FVA~.html,8-12K,Wuhan Site 00582,1-3 years,Associate degree,Python,wuhan,5
Company 02622,https://www.zhipin.com/job_detail/022301227c457ea50nV_39W-ElQ~.html,6-8K,Wuhan Site 00580,1-3 years,Associate degree,PythonEngineer,wuhan,1
Company 00010,https://www.zhipin.com/job_detail/dbd2207c281493041HB609W7FVA~.html,5-10K,Wuhan Site 00583,Experience not required,Bachelor degree,PythonInstructor,wuhan,5
Company 01642,https://www.zhipin.com/job_detail/427976de7b4a2a8003Nz2NS_ElE~.html,8-13K,Wuhan Site 00584,1-3 years,Bachelor degree,pythonDeveloper Engineer,wuhan,1
Company 02623,https://www.zhipin.com/job_detail/4278b904d0a2507f1HR42d66GVQ~.html,8-13K,Wuhan Site 00585,1-3 years,Associate degree,PythonInstructor,wuhan,1
Company 00005,https://www.zhipin.com/job_detail/ed0660d5aa125ad003xy2t60EFA~.html,12-20K,Wuhan Site 00582,Experience not required,Bachelor degree,python Developer,wuhan,5
Company 02562,https://www.zhipin.com/job_detail/db7055d31ac753581nN629--EVA~.html,10-20K,Wuhan Site 00586,Experience not required,Bachelor degree,Python Developer,wuhan,1
Company 02624,https://www.zhipin.com/job_detail/5f0fe18e5c87dac61X1429u9E1I~.html,14-28K,Wuhan Site 00580,3-5 years,Bachelor degree,PythonEngineer,wuhan,3
Company 02625,https://www.zhipin.com/job_detail/0cec5a7c6cbad8d11nx-09S0FlE~.html,5-10K,Wuhan Site 00586,1-3 years,Associate degree,PythonProgrammer,wuhan,5
Company 02626,https://www.zhipin.com/job_detail/d600120f9905da8903N53dq0F1I~.html,8-12K x 13 salaries,Wuhan Site 00584,1-3 years,Bachelor degree,PythonEngineer,wuhan,6
Company 01660,https://www.zhipin.com/job_detail/c107134b059e579e1HB92tu9ElA~.html,15-25K,Wuhan Site 00587,1-3 years,Associate degree,Python Developer,wuhan,2
Company 02627,https://www.zhipin.com/job_detail/3530e82c6773979703Jz3NW6FFE~.html,7-12K,Wuhan Site 00580,1-3 years,Associate degree,pythonDeveloper Engineer,wuhan,1
Company 02628,https://www.zhipin.com/job_detail/7ae45031324d1a910nV62t61EFU~.html,10-14K,Wuhan Site 00586,1-3 years,Bachelor degree,PythonBackend Engineer,wuhan,1
Company 00091,https://www.zhipin.com/job_detail/023aa51f4fe003ce03B73NS-E1Y~.html,7-10K,Wuhan Site 00580,Experience not required,Bachelor degree,PythonDeveloper,wuhan,3
Company 00091,https://www.zhipin.com/job_detail/cbad97cfe3151a051HR-2Nq8FlA~.html,10-15K,Wuhan Site 00580,3-5 years,Bachelor degree,pythonDeveloper,wuhan,6
Company 00091,https://www.zhipin.com/job_detail/56fe1f4d530cc4dd1Hx42dS7EVU~.html,8-12K,Wuhan Site 00580,3-5 years,Bachelor degree,Python Developer,wuhan,2
