company_name,uri,salary,site,year,edu,job_name,city,pos_count
Company 00057,https://www.zhipin.com/job_detail/d01752e174b1650103F-0t-8EFc~.html,15-30K,Xian Site 00892,3-5 years,Bachelor degree,Python,xian,6
Company 00005,https://www.zhipin.com/job_detail/9204a3af73aefbb81XR80tW0GVU~.html,7-14K,Xian Site 00893,3-5 years,Bachelor degree,Python,xian,3
Company 00005,https://www.zhipin.com/job_detail/7a701286eedb53a81HB829u5Fls~.html,10-15K,Xian Site 00894,1-3 years,Bachelor degree,Python,xian,1
Company 00005,https://www.zhipin.com/job_detail/c48a3a8f596efef31HR60t69FVI~.html,11-18K,Xian Site 00892,1-3 years,Bachelor degree,Python,xian,2
Company 00117,https://www.zhipin.com/job_detail/be75d097381340ef03d-0tm7EVA~.html,8-13K,Xian Site 00894,1-3 years,Bachelor degree,PythonEngineer,xian,5
Company 00010,https://www.zhipin.com/job_detail/1ff197d45a88a85403R62tm5FlQ~.html,5-10K,Xian Site 00895,Experience not required,Bachelor degree,PythonInstructor,xian,2
Company 00005,https://www.zhipin.com/job_detail/74e3c7f978fe63081XV92tS9FFQ~.html,9-14K,Xian Site 00896,3-5 years,Bachelor degree,Python,xian,4
Company 04151,https://www.zhipin.com/job_detail/f8bb3865d883188f0nZ739q6EVE~.html,12-17K,Xian Site 00892,5-10 years,Bachelor degree,pythonDeveloper,xian,6
Company 00740,https://www.zhipin.com/job_detail/82e032c4dae8ab8d1HB_09y5F1s~.html,10-15K,Xian Site 00892,3-5 years,Bachelor degree,PythonAutomation Test,xian,1
Company 00117,https://www.zhipin.com/job_detail/1c4bf5b562d423f31XZy3NS_FVA~.html,9-18K,Xian Site 00893,1-3 years,Bachelor degree,Python,xian,6
Elight,https://www.zhipin.com/job_detail/57c373d4f07b3a671Xd62tm0ElA~.html,8-15K,Xian Site 00895,3-5 years,Bachelor degree,Python,xian,3
Company 00010,https://www.zhipin.com/job_detail/899fcaf52987667b1HV_09S5FlI~.html,7-12K,Xian Site 00895,Experience not required,Bachelor degree,PythonTeacher,xian,6
Company 00005,https://www.zhipin.com/job_detail/1d7fc9bdcc7a903e1HJ739W5F1o~.html,9-14K,Xian Site 00894,3-5 years,Bachelor degree,PythonAutomation,xian,2
Company 00117,https://www.zhipin.com/job_detail/335d14274e449ab61X1_3tu_EFU~.html,8-16K,Xian Site 00894,Experience not required,Bachelor degree,PythonDeveloper Engineer,xian,2
Company 04151,https://www.zhipin.com/job_detail/00d1e0fae78c27610nZ_39S1FVU~.html,9-14K,Xian Site 00892,3-5 years,Bachelor degree,PythonDeveloper,xian,5
Company 04152,https://www.zhipin.com/job_detail/322e7b64c3fd45061Hd92dW1ElA~.html,8-13K,Xian Site 00897,3-5 years,Bachelor degree,Python，PHP,xian,5
Company 04151,https://www.zhipin.com/job_detail/9ae129a87c6fd3a903J529i_EFA~.html,10-15K,Xian Site 00892,3-5 years,Bachelor degree,PythonDeveloper,xian,2
Company 00010,https://www.zhipin.com/job_detail/10fe90aa91eaa42503R739m1FFU~.html,3-8K,Xian Site 00895,Experience not required,Bachelor degree,Python Developer,xian,5
Company 04153,https://www.zhipin.com/job_detail/b2a24b6763454e93031_3Ny7EFo~.html,7-12K x 13 salaries,Xian Site 00892,3-5 years,Bachelor degree,PythonDeveloper Engineer,xian,3
Company 00117,https://www.zhipin.com/job_detail/c7b4ff03d57dc80a031-2dq-GFc~.html,10-15K,Xian Site 00892,3-5 years,Bachelor degree,Senior PythonDeveloper Engineer,xian,1
Company 00117,https://www.zhipin.com/job_detail/b02d309f2a19bcae03d53ti5EVo~.html,9-14K,Xian Site 00894,3-5 years,Bachelor degree,Python Developer,xian,6
Company 00005,https://www.zhipin.com/job_detail/1bb98464ebc1b6fc1nF_2dW0F1I~.html,8-16K,Xian Site 00894,1-3 years,Bachelor degree,PythonDeveloper Engineer,xian,2
Company 00117,https://www.zhipin.com/job_detail/094d1a4c983ad94803B52Ni9EVE~.html,8-13K,Xian Site 00894,1-3 years,Bachelor degree,PythonDeveloper Engineer,xian,1
Company 04154,https://www.zhipin.com/job_detail/5d5c66074e701e2f1n160ty6GVQ~.html,7-11K,Xian Site 00898,Less than 1 year,Associate degree,PythonInstructor,xian,1
Company 00117,https://www.zhipin.com/job_detail/35f1d85ff46f4c8903d90tW7Elo~.html,13-26K x 13 salaries,Xian Site 00894,5-10 years,Bachelor degree,Python Developer,xian,6
Company 04152,https://www.zhipin.com/job_detail/302088f80db909b11HZ62921E1E~.html,7-12K,Xian Site 00897,3-5 years,Bachelor degree,pythonProgrammer,xian,6
